#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	353	0.051	458
0.076	417	0.102	461
0.127	480	0.152	463
0.178	538	0.203	465
0.229	590	0.253	470
0.279	632	0.305	475
0.330	665	0.355	480
0.380	681	0.406	487
0.432	680	0.456	493
0.482	665	0.507	498
0.533	641	0.558	503
0.583	604	0.609	507
0.634	556	0.659	510
0.685	501	0.710	511
0.736	440	0.760	511
0.786	377	0.812	508
0.837	315	0.862	505
0.887	259	0.913	501
0.938	211	0.963	493
0.989	172	1.014	487
1.040	146	1.065	478
1.090	134	1.116	468
1.141	137	1.167	461
1.191	149	1.217	453
1.243	177	1.268	446
1.293	218	1.318	440
1.344	268	1.370	437
1.394	326	1.420	435
1.445	385	1.471	436
1.496	447	1.521	438
1.547	506	1.572	444
1.597	559	1.623	450
1.648	606	1.674	460
1.698	640	1.724	470
1.749	663	1.775	481
1.800	670	1.825	492
1.851	662	1.876	503
1.901	645	1.927	514
1.952	614	1.978	523
2.002	573	2.028	529
2.054	524	2.079	533
2.104	467	2.129	534
2.155	407	2.181	533
2.205	348	2.231	529
2.256	292	2.282	522
2.307	242	2.332	513
2.358	201	2.383	502
2.408	169	2.434	489
2.459	150	2.485	475
2.509	146	2.535	461
2.560	155	2.586	447
2.611	174	2.636	435
2.662	208	2.687	425
2.712	249	2.738	418
2.763	301	2.789	413
2.813	358	2.839	412
2.865	415	2.890	415
2.915	472	2.940	421
2.966	526	2.992	429
3.016	575	3.042	440
3.067	613	3.093	454
3.118	640	3.143	471
3.169	654	3.194	487
3.219	654	3.245	504
3.270	642	3.296	519
3.320	620	3.346	532
3.372	585	3.397	543
3.422	542	3.447	552
3.473	491	3.498	557
3.523	435	3.549	557
3.574	379	3.600	552
3.624	324	3.650	546
3.676	273	3.701	534
3.726	230	3.751	520
3.777	195	3.803	504
3.827	171	3.853	485
3.878	162	3.904	466
3.929	164	3.954	446
3.980	175	4.005	431
4.030	201	4.056	415
4.081	238	4.107	404
4.131	283	4.157	394
4.183	334	4.208	390
4.233	388	4.258	391
4.284	441	4.309	397
4.334	494	4.360	406
4.385	542	4.411	420
4.435	583	4.461	436
4.487	614	4.512	456
4.537	632	4.562	478
4.588	638	4.614	498
4.638	634	4.664	519
4.689	619	4.715	538
4.740	591	4.765	554
4.791	554	4.816	566
4.841	510	4.867	575
4.892	460	4.918	577
4.942	408	4.968	575
4.994	354	5.019	568
5.044	305	5.069	557
5.095	260	5.120	541
5.145	223	5.171	521
5.196	197	5.222	500
5.246	181	5.272	475
5.298	178	5.323	453
5.348	183	5.373	431
5.399	201	5.425	410
5.449	231	5.475	392
5.500	269	5.526	380
5.551	314	5.576	373
5.602	362	5.627	371
5.652	413	5.678	374
5.703	464	5.729	383
5.753	511	5.779	398
5.805	552	5.830	416
5.855	585	5.880	439
5.906	609	5.932	463
5.956	620	5.982	488
6.007	621	6.033	514
6.057	611	6.083	538
6.109	591	6.134	560
6.159	560	6.184	577
6.210	522	6.236	588
6.260	480	6.286	595
6.311	430	6.337	596
6.362	382	6.387	590
6.413	334	6.438	579
6.463	292	6.489	562
6.514	254	6.540	542
6.564	224	6.590	516
6.616	204	6.641	490
6.666	195	6.691	462
6.717	197	6.743	434
6.767	209	6.793	410
6.818	231	6.844	387
6.868	261	6.894	371
6.920	299	6.945	359
6.970	343	6.995	353
7.021	389	7.047	354
7.071	436	7.097	363
7.122	480	7.148	375
7.173	521	7.198	395
7.224	556	7.249	418
7.274	582	7.300	446
7.325	597	7.351	475
7.375	604	7.401	505
7.427	600	7.452	533
7.477	586	7.502	560
7.528	562	7.554	582
7.578	531	7.604	598
7.629	493	7.655	609
7.679	451	7.705	614
7.731	407	7.756	611
7.781	362	7.806	600
7.832	320	7.858	585
7.882	284	7.908	563
7.933	253	7.959	536
7.985	230	8.009	507
8.035	217	8.060	476
8.086	214	8.111	444
8.136	221	8.162	414
8.187	236	8.212	387
8.238	260	8.263	365
8.289	291	8.313	350
8.339	329	8.365	341
8.390	370	8.415	337
8.440	412	8.466	342
8.492	452	8.516	355
8.542	491	8.567	374
8.593	526	8.617	397
8.643	553	8.669	426
8.694	571	8.719	459
8.744	581	8.770	491
8.796	583	8.820	524
8.846	575	8.871	555
8.897	558	8.922	582
8.947	533	8.973	604
8.998	502	9.023	618
9.049	466	9.074	627
9.100	427	9.124	627
9.150	387	9.176	620
9.201	348	9.226	606
9.251	312	9.277	585
9.303	282	9.327	558
9.353	258	9.378	526
9.404	242	9.428	493
9.454	234	9.480	458
9.505	235	9.530	423
9.555	245	9.581	392
9.607	264	9.631	365
9.657	289	9.682	343
9.708	319	9.733	331
9.758	354	9.784	324
9.809	392	9.834	326
9.860	430	9.885	334
9.911	465	9.935	352
9.961	497	9.987	375
10.012	525	10.037	406
10.062	546	10.088	439
10.114	558	10.138	475
10.164	563	10.189	511
10.215	559	10.239	546
10.265	548	10.291	577
10.316	530	10.341	604
10.366	505	10.392	624
10.418	475	10.442	636
10.468	442	10.493	641
10.519	407	10.544	636
10.569	373	10.595	625
10.620	339	10.645	606
10.671	310	10.696	579
10.722	285	10.746	547
10.772	269	10.798	511
10.823	258	10.848	474
10.873	255	10.899	437
10.925	259	10.949	401
10.975	272	11.000	369
11.026	292	11.050	344
11.076	316	11.102	325
11.127	345	11.153	315
11.177	376	11.203	312
11.229	409	11.254	319
11.279	440	11.304	333
11.330	472	11.356	355
11.380	496	11.406	384
11.431	518	11.457	418
11.482	532	11.507	457
11.533	541	11.558	494
11.583	541	11.609	533
11.634	535	11.660	569
11.684	521	11.710	600
11.736	502	11.761	625
11.786	479	11.811	641
11.837	453	11.863	649
11.887	422	11.913	651
11.938	391	11.964	642
11.988	362	12.014	625
12.040	336	12.065	599
12.090	313	12.115	568
12.141	295	12.167	532
12.191	283	12.217	493
12.242	277	12.268	454
12.293	278	12.318	415
12.344	286	12.369	379
12.394	298	12.420	349
12.445	317	12.471	325
12.495	340	12.521	309
12.547	366	12.572	303
12.597	393	12.622	304
12.648	421	12.674	317
12.698	447	12.724	337
12.749	471	12.775	364
12.799	491	12.825	398
12.851	506	12.876	434
12.901	516	12.926	476
12.952	519	12.978	516
13.002	517	13.028	555
13.053	510	13.079	591
13.104	496	13.129	620
13.155	478	13.180	642
13.205	457	13.231	655
13.256	433	13.282	659
13.306	408	13.332	655
13.358	383	13.383	641
13.408	360	13.433	619
13.459	338	13.485	590
13.509	321	13.535	553
13.560	310	13.586	514
13.610	302	13.636	471
13.662	299	13.687	432
13.712	302	13.737	392
13.763	311	13.789	357
13.813	324	13.839	328
13.864	341	13.890	308
13.915	360	13.940	298
13.966	382	13.991	297
14.016	405	14.042	303
14.067	428	14.093	320
14.117	447	14.143	345
14.169	465	14.194	377
14.219	480	14.244	414
14.270	490	14.296	456
14.320	496	14.346	498
14.371	496	14.397	539
14.421	492	14.447	578
14.473	484	14.498	611
14.523	472	14.548	638
14.574	457	14.600	656
14.624	438	14.650	664
14.675	418	14.701	665
14.726	399	14.751	654
14.777	380	14.802	637
14.828	362	14.853	608
14.878	347	14.904	574
14.929	334	14.954	534
14.980	327	15.005	492
15.031	322	15.055	449
15.081	323	15.107	408
15.132	327	15.157	371
15.182	335	15.208	337
15.234	346	15.258	312
15.284	361	15.309	297
15.335	377	15.359	292
15.385	395	15.411	293
15.436	412	15.461	307
15.486	429	15.512	328
15.538	443	15.562	358
15.588	455	15.613	394
15.639	465	15.664	435
15.689	471	15.715	477
15.740	475	15.765	521
15.791	473	15.816	561
15.842	469	15.866	599
15.892	461	15.918	629
15.943	451	15.968	652
15.993	439	16.019	665
16.045	424	16.069	669
16.095	410	16.120	665
16.146	395	16.170	649
16.196	381	16.222	624
16.247	369	16.272	593
16.297	359	16.323	555
16.349	351	16.373	514
16.399	347	16.424	470
16.450	345	16.475	426
16.500	347	16.526	386
16.551	350	16.576	350
16.602	357	16.627	321
16.653	366	16.677	300
16.703	377	16.729	290
16.754	389	16.779	289
16.804	400	16.830	297
16.856	412	16.880	315
16.906	422	16.931	341
16.957	434	16.981	375
17.007	442	17.033	414
17.058	447	17.083	457
17.108	451	17.134	501
17.160	452	17.184	542
17.210	450	17.235	583
17.261	447	17.286	618
17.311	441	17.337	644
17.362	433	17.387	662
17.413	426	17.438	670
17.464	416	17.488	669
17.514	406	17.540	660
17.565	397	17.590	638
17.615	389	17.641	611
17.667	381	17.691	574
17.717	375	17.742	534
17.768	370	17.792	491
17.818	368	17.844	446
17.869	368	17.895	404
17.919	369	17.945	366
17.971	371	17.996	333
18.021	375	18.046	307
18.072	382	18.098	293
18.122	388	18.148	288
