#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	600	0.050	449
0.076	628	0.101	449
0.127	644	0.151	450
0.177	650	0.203	449
0.228	640	0.253	449
0.278	626	0.304	450
0.330	605	0.355	451
0.380	578	0.405	449
0.431	543	0.457	451
0.481	501	0.507	450
0.532	458	0.558	450
0.582	412	0.608	450
0.634	368	0.659	451
0.684	326	0.709	450
0.735	293	0.761	451
0.785	268	0.811	450
0.836	251	0.862	450
0.887	242	0.912	450
0.938	244	0.963	449
0.988	255	1.014	448
1.039	275	1.065	448
1.089	303	1.115	449
1.141	338	1.166	448
1.191	378	1.216	449
1.242	422	1.268	448
1.292	467	1.318	449
1.343	509	1.369	448
1.393	548	1.419	449
1.445	578	1.470	449
1.495	604	1.520	449
1.546	617	1.572	450
1.596	624	1.622	451
1.647	620	1.673	450
1.698	609	1.723	451
1.749	588	1.774	451
1.799	563	1.825	451
1.850	531	1.876	451
1.900	494	1.926	450
1.952	455	1.977	450
2.002	413	2.027	451
2.053	374	2.079	449
2.103	339	2.129	450
2.154	311	2.180	449
2.204	288	2.230	449
2.256	272	2.281	449
2.306	265	2.331	448
2.357	268	2.383	448
2.407	277	2.433	449
2.458	295	2.484	448
2.509	320	2.534	449
2.560	349	2.585	448
2.610	384	2.636	449
2.661	421	2.687	449
2.711	462	2.737	449
2.763	498	2.788	449
2.813	533	2.838	450
2.864	561	2.890	450
2.914	585	2.940	450
2.965	598	2.991	450
3.015	606	3.041	451
3.067	604	3.092	451
3.117	595	3.142	450
3.168	578	3.194	451
3.218	555	3.244	450
3.269	524	3.295	451
3.320	489	3.345	450
3.371	454	3.396	450
3.422	416	3.447	450
3.472	381	3.498	449
3.523	348	3.548	449
3.574	320	3.599	449
3.625	299	3.649	448
3.675	286	3.701	447
3.726	280	3.751	448
3.776	281	3.802	448
3.828	291	3.852	449
3.878	307	3.903	448
3.929	330	3.953	448
3.979	358	4.005	448
4.030	390	4.055	448
4.080	424	4.106	449
4.132	460	4.156	450
4.182	493	4.207	450
4.233	524	4.258	450
4.283	550	4.309	451
4.334	570	4.359	450
4.385	583	4.410	452
4.436	591	4.460	451
4.486	590	4.512	451
4.537	581	4.562	451
4.587	566	4.613	450
4.639	543	4.663	450
4.689	517	4.714	451
4.740	486	4.764	451
4.790	454	4.816	450
4.841	419	4.866	449
4.891	387	4.917	449
4.943	355	4.967	449
4.993	329	5.018	448
5.044	310	5.069	448
5.094	297	5.120	449
5.145	291	5.170	448
5.196	291	5.221	449
5.247	300	5.271	449
5.297	315	5.323	449
5.348	336	5.373	449
5.398	362	5.424	449
5.450	394	5.474	449
5.500	425	5.525	451
5.551	458	5.575	451
5.601	490	5.627	451
5.652	518	5.677	450
5.702	542	5.728	450
5.754	561	5.778	451
5.804	573	5.829	451
5.855	578	5.880	451
5.905	577	5.931	450
5.956	569	5.981	451
6.007	555	6.032	450
6.058	534	6.082	450
6.108	510	6.134	449
6.159	481	6.184	449
6.209	451	6.235	449
6.261	419	6.285	449
6.311	389	6.336	449
6.362	362	6.387	449
6.412	339	6.438	449
6.463	320	6.489	449
6.513	307	6.539	449
6.565	303	6.590	448
6.615	303	6.640	449
6.666	311	6.692	449
6.716	324	6.742	449
6.767	344	6.793	450
6.818	367	6.843	450
6.869	396	6.894	449
6.919	425	6.945	450
6.970	455	6.996	450
7.020	485	7.046	451
7.072	511	7.097	451
7.122	535	7.147	450
7.173	552	7.199	451
7.223	564	7.249	450
7.274	568	7.300	451
7.324	568	7.350	451
7.376	560	7.401	450
7.426	547	7.451	450
7.477	528	7.503	449
7.527	506	7.553	449
7.578	478	7.604	449
7.629	449	7.654	449
7.680	420	7.705	448
7.730	391	7.756	448
7.781	367	7.807	449
7.831	343	7.857	448
7.883	327	7.908	449
7.933	315	7.958	449
7.984	312	8.010	449
8.034	312	8.060	449
8.085	320	8.111	449
8.135	334	8.161	450
8.187	352	8.212	451
8.237	374	8.262	450
8.288	401	8.314	451
8.338	428	8.364	450
8.389	455	8.415	451
8.440	483	8.465	450
8.491	507	8.516	449
8.541	528	8.567	450
8.592	544	8.618	450
8.642	555	8.668	450
8.694	559	8.719	449
8.744	559	8.769	449
8.795	552	8.821	450
8.845	539	8.871	450
8.896	522	8.922	450
8.947	500	8.972	449
8.998	475	9.023	449
9.048	449	9.073	450
9.099	422	9.125	449
9.149	394	9.175	449
9.200	371	9.226	449
9.251	350	9.276	449
9.302	335	9.327	449
9.353	324	9.378	450
9.403	320	9.429	450
9.454	320	9.479	450
9.505	329	9.530	450
9.556	340	9.580	449
9.606	357	9.632	450
9.657	380	9.682	450
9.707	404	9.733	450
9.759	430	9.783	451
9.809	455	9.834	449
9.860	482	9.884	449
9.910	503	9.936	450
9.961	523	9.986	450
10.011	537	10.037	450
10.063	548	10.087	449
10.113	552	10.138	449
10.164	551	10.189	450
10.214	544	10.240	450
10.265	532	10.290	450
10.316	515	10.341	450
10.367	494	10.391	449
10.417	472	10.443	449
10.468	447	10.493	450
10.518	422	10.544	450
10.570	397	10.594	449
10.620	376	10.645	450
10.671	357	10.695	450
10.721	342	10.747	451
10.772	331	10.797	450
10.822	328	10.848	450
10.874	328	10.898	449
10.924	335	10.949	449
10.975	347	11.000	450
11.025	363	11.051	449
11.076	384	11.101	450
11.127	406	11.152	450
11.178	431	11.202	450
11.228	455	11.254	449
11.279	479	11.304	449
11.329	499	11.355	450
11.381	519	11.405	450
11.431	532	11.456	449
11.482	542	11.507	449
11.532	545	11.558	450
11.583	544	11.608	449
11.633	537	11.659	450
11.685	525	11.709	449
11.735	511	11.760	450
11.786	490	11.811	450
11.836	468	11.862	450
11.887	444	11.912	450
11.938	421	11.963	451
11.989	398	12.013	451
12.039	378	12.065	449
12.090	360	12.115	450
12.140	347	12.166	449
12.192	337	12.216	450
12.242	335	12.267	449
12.293	336	12.318	450
12.343	342	12.369	450
12.394	354	12.420	450
12.444	369	12.470	450
12.496	389	12.521	450
12.546	410	12.571	449
12.597	433	12.623	450
12.647	455	12.673	449
12.698	477	12.724	449
12.749	496	12.774	450
12.800	514	12.825	449
12.850	527	12.876	450
12.901	534	12.927	450
12.951	538	12.977	449
13.003	536	13.028	450
13.053	530	13.078	451
13.104	519	13.130	450
13.154	504	13.180	450
13.205	485	13.231	450
13.255	465	13.281	451
13.307	443	13.332	450
13.357	421	13.382	451
13.408	400	13.434	451
13.458	380	13.484	451
13.509	364	13.535	450
13.560	351	13.585	449
13.611	344	13.636	449
13.661	341	13.687	449
13.712	343	13.738	449
13.762	348	13.788	449
13.814	360	13.839	449
13.864	374	13.889	448
13.915	393	13.941	449
13.965	411	13.991	449
14.016	434	14.042	450
14.067	454	14.092	450
14.118	476	14.143	449
14.168	494	14.193	450
14.219	510	14.245	450
14.269	521	14.295	450
14.320	528	14.346	451
14.371	532	14.396	451
14.422	530	14.447	450
14.472	525	14.498	450
14.523	512	14.549	450
14.573	499	14.599	450
14.625	481	14.650	450
14.675	463	14.700	450
14.726	442	14.752	449
14.776	421	14.802	450
14.827	400	14.853	450
14.878	383	14.903	450
14.929	368	14.954	449
14.979	357	15.004	449
15.030	350	15.056	449
15.080	345	15.106	449
15.131	348	15.157	449
15.182	354	15.207	448
15.233	365	15.258	448
15.284	378	15.309	450
15.334	396	15.360	449
15.385	415	15.410	450
15.436	436	15.461	450
15.487	456	15.511	449
15.537	474	15.563	450
15.588	491	15.613	450
15.638	505	15.664	451
15.690	517	15.714	450
15.740	523	15.765	450
15.791	527	15.815	450
15.841	523	15.867	451
15.892	518	15.917	451
15.942	507	15.968	450
15.994	494	16.018	450
16.044	479	16.069	450
16.095	460	16.120	450
16.145	440	16.171	451
16.196	421	16.221	449
16.247	404	16.272	449
16.298	386	16.322	450
16.348	373	16.374	450
16.399	361	16.424	450
16.449	355	16.475	450
16.501	352	16.525	449
16.551	356	16.576	449
16.602	360	16.627	450
16.652	372	16.678	450
16.703	384	16.728	450
16.753	400	16.779	449
16.805	418	16.829	450
16.855	437	16.880	451
16.906	456	16.931	450
16.956	473	16.982	451
17.007	490	17.032	451
17.058	502	17.083	451
17.109	513	17.133	451
17.159	518	17.185	450
17.210	521	17.235	450
17.260	518	17.286	450
17.312	513	17.336	451
17.362	503	17.387	451
17.413	490	17.438	450
17.463	474	17.489	450
17.514	457	17.539	449
17.564	440	17.590	449
17.616	421	17.640	449
17.666	405	17.691	450
17.717	389	17.742	450
17.767	376	17.793	449
17.818	366	17.843	449
17.869	361	17.894	450
17.920	359	17.944	450
17.970	361	17.996	450
18.021	367	18.046	450
18.071	376	18.097	449
18.123	390	18.147	450
18.173	404	18.198	451
18.224	421	18.249	451
18.274	438	18.300	451
18.325	456	18.351	451
18.375	472	18.401	450
18.427	487	18.452	451
18.477	498	18.502	451
18.528	508	18.554	450
18.578	513	18.604	450
18.629	515	18.655	449
18.680	513	18.705	449
18.731	506	18.756	449
18.781	496	18.807	450
18.832	484	18.858	449
18.882	472	18.908	449
18.934	455	18.959	449
18.984	439	19.009	450
19.035	421	19.061	449
19.085	406	19.111	449
19.136	391	19.162	449
19.187	380	19.212	450
19.238	370	19.263	451
19.288	366	19.313	450
19.339	364	19.365	451
19.389	366	19.415	450
19.440	372	19.466	450
19.491	381	19.516	450
19.542	394	19.567	450
19.592	407	19.618	450
19.643	424	19.669	450
19.693	440	19.719	450
19.745	456	19.770	449
19.795	470	19.820	450
19.846	484	19.872	451
19.896	496	19.922	450
19.947	504	19.973	450
19.998	508	20.023	450
20.049	510	20.074	450
20.099	508	20.124	450
20.150	501	20.176	451
20.200	493	20.226	450
20.251	480	20.277	450
20.302	468	20.327	449
20.353	453	20.378	449
20.403	438	20.429	450
20.454	421	20.480	450
20.504	407	20.530	450
20.556	393	20.581	450
20.606	384	20.631	450
20.657	374	20.683	450
20.707	370	20.733	450
20.758	368	20.784	451
20.809	371	20.834	450
20.860	378	20.885	450
20.910	387	20.935	450
20.961	398	20.987	451
21.011	410	21.037	450
21.062	425	21.088	450
21.113	441	21.138	450
21.164	456	21.189	449
21.214	469	21.240	450
21.265	482	21.291	450
21.315	492	21.341	449
21.367	500	21.392	450
21.417	504	21.442	450
21.468	503	21.494	450
21.518	503	21.544	451
21.569	497	21.595	450
21.620	489	21.645	449
21.671	478	21.696	451
21.721	465	21.747	450
21.772	450	21.798	451
21.822	437	21.848	451
21.873	422	21.899	450
21.924	408	21.949	450
21.975	396	22.000	450
22.026	387	22.051	450
22.076	379	22.102	450
22.127	375	22.152	450
22.178	375	22.203	449
22.229	377	22.253	450
22.279	382	22.305	450
22.330	390	22.355	450
22.380	401	22.406	449
22.432	414	22.456	450
22.482	429	22.507	450
22.533	442	22.558	451
22.583	456	22.609	450
22.634	469	22.659	451
22.684	481	22.710	450
22.736	490	22.760	451
22.786	495	22.811	451
22.837	500	22.862	451
22.887	499	22.913	451
22.938	497	22.963	450
22.989	491	23.014	450
23.040	484	23.064	449
23.090	473	23.116	450
23.141	462	23.166	450
23.191	448	23.217	450
23.243	436	23.267	450
23.293	421	23.318	450
23.344	409	23.369	451
23.394	398	23.420	450
23.445	389	23.470	450
23.495	383	23.521	450
23.547	380	23.571	450
23.597	379	23.622	450
23.648	380	23.673	450
23.698	387	23.724	450
23.749	395	23.774	450
23.800	405	23.825	450
23.851	417	23.875	449
23.901	430	23.927	450
23.952	442	23.977	450
24.002	456	24.028	450
24.054	467	24.078	449
24.104	478	24.129	450
24.155	487	24.180	450
24.205	491	24.231	450
24.256	496	24.281	450
24.307	495	24.332	450
24.358	493	24.382	450
24.408	486	24.433	451
24.459	480	24.484	450
24.509	470	24.535	450
24.560	459	24.585	450
24.611	447	24.636	450
24.662	434	24.686	450
24.712	421	24.738	450
24.763	410	24.788	450
24.813	400	24.839	450
24.865	393	24.889	450
24.915	387	24.940	450
24.966	384	24.991	450
25.016	384	25.042	451
25.067	386	25.093	450
25.118	393	25.143	450
25.169	399	25.194	450
25.219	408	25.244	450
25.270	419	25.296	451
25.320	432	25.346	450
25.371	444	25.397	450
25.422	455	25.447	450
25.473	466	25.498	451
25.523	475	25.549	450
25.574	483	25.600	450
25.624	487	25.650	450
25.676	491	25.701	450
25.726	490	25.751	450
25.777	488	25.803	450
25.827	483	25.853	450
25.878	475	25.904	450
25.929	467	25.954	451
25.980	457	26.005	450
26.030	446	26.055	451
26.081	434	26.107	451
26.131	423	26.157	450
26.182	411	26.208	450
26.233	403	26.258	451
26.284	395	26.309	451
26.334	391	26.360	450
26.385	388	26.411	450
26.435	388	26.461	449
26.487	391	26.512	449
26.537	397	26.562	450
26.588	403	26.614	450
26.638	412	26.664	449
26.689	423	26.715	450
26.740	432	26.765	450
26.791	445	26.816	450
26.841	455	26.867	450
26.892	465	26.918	450
26.942	472	26.968	451
26.993	480	27.019	450
27.044	483	27.069	450
27.095	486	27.120	450
27.145	485	27.171	450
27.196	483	27.222	450
27.246	478	27.272	450
27.298	471	27.323	451
27.348	464	27.373	450
27.399	454	27.425	451
27.449	444	27.475	450
27.500	432	27.526	451
27.551	424	27.576	451
27.602	412	27.627	451
27.652	406	27.678	450
27.703	399	27.729	450
27.753	395	27.779	450
27.804	393	27.830	451
27.855	393	27.880	450
27.906	396	27.931	450
27.956	400	27.982	450
28.007	407	28.033	450
28.057	415	28.083	450
28.109	425	28.134	450
28.159	434	28.184	450
28.210	445	28.236	450
28.260	454	28.286	451
