#Creator: pendulumEventBuffer
#Creation time: Mon Mar 21 09:33:57 2022
#Time	Period	Transit time
#[s]	[s]	[s]
2.347165	2.135310	0.022238
3.414820	2.135270	0.022296
4.482435	2.135225	0.022338
5.550045	2.135199	0.022390
6.617634	2.135154	0.022448
7.685199	2.135111	0.022502
8.752745	2.135065	0.022558
9.820264	2.135043	0.022612
10.887788	2.134992	0.022664
11.955256	2.134929	0.022724
13.022717	2.134914	0.022786
14.090170	2.134869	0.022840
15.157586	2.134816	0.022896
16.224986	2.134800	0.022952
17.292386	2.134769	0.023004
18.359755	2.134731	0.023058
19.427117	2.134694	0.023118
20.494449	2.134657	0.023178
21.561774	2.134621	0.023236
22.629070	2.134590	0.023292
23.696364	2.134549	0.023344
24.763619	2.134504	0.023406
25.830868	2.134483	0.023464
26.898102	2.134458	0.023512
27.965326	2.134416	0.023568
29.032518	2.134385	0.023624
30.099711	2.134359	0.023682
31.166877	2.134322	0.023742
32.234033	2.134288	0.023794
33.301165	2.134242	0.023854
34.368275	2.134223	0.023906
35.435388	2.134219	0.023960
36.502494	2.134147	0.024024
37.569535	2.134082	0.024086
38.636576	2.134068	0.024144
39.703603	2.134014	0.024210
40.770590	2.133961	0.024264
41.837564	2.133931	0.024304
42.904521	2.133913	0.024366
43.971477	2.133892	0.024434
45.038413	2.133851	0.024494
46.105328	2.133806	0.024548
47.172219	2.133768	0.024602
48.239096	2.133765	0.024660
49.305984	2.133734	0.024720
50.372830	2.133696	0.024776
51.439680	2.133677	0.024832
52.506507	2.133656	0.024890
53.573336	2.133627	0.024948
54.640134	2.133586	0.025012
55.706922	2.133549	0.025072
56.773683	2.133514	0.025130
57.840436	2.133479	0.025188
58.907162	2.133453	0.025240
59.973889	2.133430	0.025302
61.040592	2.133403	0.025368
62.107292	2.133375	0.025428
63.173967	2.133336	0.025486
64.240628	2.133313	0.025544
65.307280	2.133297	0.025600
66.373925	2.133269	0.025662
67.440549	2.133242	0.025718
68.507167	2.133206	0.025774
69.573755	2.133171	0.025842
70.640338	2.133157	0.025904
71.706912	2.133123	0.025960
72.773461	2.133075	0.026022
73.839987	2.133001	0.026086
74.906462	2.132986	0.026160
75.972973	2.132973	0.026222
77.039435	2.132937	0.026294
78.105910	2.133014	0.026392
79.172449	2.132972	0.026414
80.238882	2.132840	0.026436
81.305289	2.132824	0.026494
82.371706	2.132818	0.026560
83.438107	2.132772	0.026638
84.504478	2.132742	0.026688
85.570849	2.132688	0.026746
86.637166	2.132681	0.026828
87.703530	2.132701	0.026896
88.769867	2.132682	0.026950
89.836212	2.132628	0.027016
90.902495	2.132463	0.027070
91.968675	2.132445	0.027114
93.034940	2.132572	0.027192
94.101247	2.132557	0.027270
95.167497	2.132487	0.027322
96.233734	2.132453	0.027388
97.299950	2.132457	0.027448
98.366191	2.132441	0.027502
99.432391	2.132391	0.027558
100.498582	2.132376	0.027624
101.564767	2.132362	0.027702
102.630944	2.132332	0.027768
103.697099	2.132311	0.027814
104.763255	2.132289	0.027878
105.829388	2.132262	0.027948
106.895517	2.132235	0.028002
107.961623	2.132196	0.028062
109.027713	2.132181	0.028138
110.093804	2.132173	0.028200
111.159886	2.132133	0.028256
112.225937	2.132101	0.028326
113.291987	2.132081	0.028390
114.358018	2.132036	0.028452
115.424023	2.132010	0.028518
116.490028	2.131968	0.028600
117.555991	2.131929	0.028662
118.621957	2.131907	0.028722
119.687898	2.131881	0.028796
120.753838	2.131795	0.028864
121.819693	2.131776	0.028934
122.885614	2.131675	0.029012
123.951368	2.131543	0.029096
125.017157	2.131809	0.029178
126.083177	2.131868	0.029250
127.149025	2.131583	0.029322
128.214760	2.131537	0.029408
129.280562	2.131635	0.029488
130.346395	2.131565	0.029562
131.412127	2.131515	0.029634
132.477910	2.131513	0.029720
133.543640	2.131474	0.029800
134.609384	2.131517	0.029864
135.675157	2.131430	0.029934
136.740814	2.131455	0.030012
137.806612	2.131537	0.030092
138.872351	2.131391	0.030174
139.938003	2.131408	0.030270
141.003759	2.131441	0.030358
142.069444	2.131364	0.030432
143.135123	2.131373	0.030502
144.200817	2.131327	0.030578
145.266450	2.131262	0.030660
146.332079	2.131289	0.030726
147.397739	2.131277	0.030806
148.463356	2.131225	0.030892
149.528964	2.131191	0.030964
150.594547	2.131176	0.031054
151.660140	2.131155	0.031132
152.725702	2.131145	0.031216
153.791285	2.131117	0.031318
154.856819	2.131121	0.031374
155.922406	2.131096	0.031428
156.987915	2.131023	0.031510
158.053429	2.131030	0.031586
159.118945	2.131022	0.031670
160.184451	2.130984	0.031738
161.249929	2.130979	0.031794
162.315430	2.130974	0.031868
163.380903	2.130955	0.031942
164.446385	2.130944	0.032018
165.511847	2.130923	0.032090
166.577308	2.130889	0.032164
167.642736	2.130863	0.032236
168.708171	2.130851	0.032310
169.773587	2.130843	0.032382
170.839014	2.130825	0.032448
171.904412	2.130797	0.032520
172.969811	2.130788	0.032594
174.035200	2.130785	0.032660
175.100596	2.130773	0.032724
176.165973	2.130729	0.032806
