#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	263	0.051	384
0.076	323	0.102	440
0.126	387	0.152	499
0.178	452	0.203	556
0.228	514	0.253	609
0.279	568	0.305	656
0.329	618	0.355	694
0.380	655	0.406	721
0.431	680	0.456	732
0.482	689	0.507	730
0.532	681	0.558	718
0.583	661	0.609	694
0.633	631	0.659	657
0.685	589	0.710	613
0.735	537	0.760	562
0.786	479	0.811	506
0.836	415	0.862	449
0.887	351	0.913	394
0.937	289	0.963	342
0.989	236	1.014	298
1.040	189	1.064	263
1.090	153	1.116	239
1.141	130	1.166	226
1.191	121	1.217	229
1.243	127	1.267	242
1.293	144	1.318	268
1.344	177	1.369	303
1.394	220	1.420	346
1.445	273	1.470	398
1.496	332	1.521	453
1.547	394	1.571	509
1.597	457	1.623	564
1.648	518	1.673	616
1.698	572	1.724	659
1.749	618	1.774	692
1.800	654	1.825	716
1.851	675	1.875	728
1.901	681	1.927	725
1.952	672	1.977	712
2.002	654	2.028	688
2.054	622	2.078	650
2.104	580	2.129	606
2.155	527	2.180	554
2.205	470	2.231	499
2.256	407	2.281	444
2.307	346	2.332	390
2.358	287	2.382	341
2.408	235	2.434	300
2.459	190	2.484	267
2.509	157	2.535	244
2.560	136	2.585	235
2.611	127	2.636	238
2.662	136	2.686	253
2.712	153	2.738	277
2.763	186	2.788	312
2.813	229	2.839	354
2.865	281	2.889	404
2.915	340	2.940	456
2.966	400	2.991	511
3.016	461	3.042	564
3.067	521	3.092	612
3.118	573	3.143	655
3.169	616	3.193	687
3.219	649	3.245	707
3.270	670	3.295	715
3.320	675	3.346	712
3.371	664	3.396	699
3.422	646	3.447	673
3.473	614	3.497	637
3.523	571	3.549	594
3.574	518	3.599	544
3.624	461	3.650	491
3.676	400	3.700	437
3.726	340	3.751	386
3.777	283	3.803	340
3.827	232	3.853	301
3.878	191	3.904	270
3.929	159	3.954	249
3.980	140	4.005	242
4.030	134	4.056	248
4.081	142	4.107	262
4.131	162	4.157	288
4.183	197	4.208	323
4.233	240	4.258	365
4.284	291	4.309	413
4.334	348	4.360	465
4.385	408	4.411	517
4.435	467	4.461	568
4.487	524	4.512	614
4.537	573	4.562	653
4.588	615	4.614	683
4.638	647	4.664	703
4.689	664	4.715	710
4.740	666	4.765	707
4.791	657	4.816	692
4.841	637	4.867	666
4.892	604	4.918	630
4.942	562	4.968	587
4.994	510	5.019	539
5.044	453	5.069	487
5.095	394	5.120	435
5.145	336	5.171	385
5.196	280	5.222	340
5.246	231	5.272	303
5.298	191	5.323	274
5.348	162	5.373	255
5.399	144	5.425	248
5.449	142	5.475	253
5.500	151	5.526	268
5.551	171	5.576	294
5.602	206	5.627	329
5.652	249	5.678	370
5.703	300	5.729	418
5.753	356	5.779	469
5.805	416	5.830	520
5.855	472	5.880	569
5.906	526	5.931	613
5.956	575	5.982	652
6.007	615	6.033	681
6.057	643	6.083	698
6.109	658	6.134	702
6.159	659	6.184	698
6.210	649	6.236	683
6.260	628	6.286	657
6.311	593	6.337	621
6.362	551	6.387	578
6.413	501	6.438	531
6.463	445	6.489	480
6.514	388	6.540	431
6.564	330	6.590	382
6.616	278	6.641	340
6.666	230	6.691	304
6.717	193	6.743	275
6.767	165	6.793	260
6.818	150	6.844	255
6.868	148	6.894	261
6.920	159	6.945	276
6.970	181	6.995	303
7.021	215	7.047	337
7.071	257	7.097	379
7.122	309	7.148	425
7.173	364	7.198	475
7.224	422	7.249	525
7.274	478	7.300	573
7.325	529	7.351	615
7.375	577	7.401	650
7.427	613	7.452	678
7.477	640	7.502	694
7.528	652	7.554	698
7.578	653	7.604	694
7.629	641	7.655	678
7.679	619	7.705	650
7.731	584	7.756	615
7.781	542	7.806	573
7.832	492	7.858	527
7.882	436	7.908	477
7.933	381	7.959	429
7.984	325	8.009	381
8.035	275	8.060	340
8.085	229	8.111	305
8.136	193	8.162	279
8.186	168	8.212	264
8.238	156	8.263	260
8.288	156	8.313	266
8.339	165	8.365	283
8.389	189	8.415	309
8.440	224	8.466	344
8.490	267	8.516	384
8.542	317	8.567	430
8.592	371	8.617	479
8.643	427	8.669	528
8.693	482	8.719	573
8.744	532	8.770	615
8.795	576	8.820	649
8.846	611	8.871	675
8.896	637	8.922	689
8.947	647	8.973	694
8.997	645	9.023	688
9.049	634	9.074	673
9.099	610	9.124	645
9.150	576	9.176	609
9.200	533	9.226	568
9.251	484	9.277	522
9.301	429	9.327	474
9.353	375	9.378	426
9.403	321	9.428	381
9.454	272	9.480	340
9.504	229	9.530	307
9.555	195	9.581	281
9.606	171	9.631	268
9.657	162	9.682	264
9.707	163	9.733	271
9.758	174	9.784	288
9.808	199	9.834	315
9.860	233	9.885	347
9.910	277	9.935	389
9.961	325	9.987	435
10.011	378	10.037	483
10.062	434	10.088	529
10.112	486	10.138	575
10.164	534	10.189	616
10.214	576	10.239	649
10.265	609	10.291	673
10.315	632	10.341	686
10.366	642	10.392	690
10.417	638	10.442	684
10.468	626	10.493	667
10.519	602	10.544	640
10.569	568	10.595	605
10.620	525	10.645	564
10.671	475	10.696	518
10.722	422	10.746	469
10.772	369	10.798	423
10.823	316	10.848	379
10.873	270	10.899	340
10.925	229	10.949	308
10.975	197	11.000	284
11.026	177	11.050	270
11.076	168	11.102	269
11.127	170	11.152	276
11.177	182	11.203	292
11.229	208	11.253	320
11.279	242	11.304	354
11.330	285	11.355	394
11.380	333	11.406	439
11.431	386	11.456	486
11.482	439	11.507	533
11.533	489	11.557	577
11.583	536	11.609	616
11.634	576	11.659	648
11.684	607	11.710	671
11.736	627	11.760	682
11.786	635	11.811	685
11.837	631	11.861	679
11.887	618	11.913	661
11.938	592	11.963	634
11.988	557	12.014	600
12.040	514	12.064	558
12.090	468	12.115	513
12.141	416	12.166	467
12.191	364	12.217	420
12.242	314	12.267	378
12.293	268	12.318	340
12.344	229	12.368	309
12.394	201	12.420	285
12.445	181	12.470	274
12.495	174	12.521	273
12.547	177	12.571	280
12.597	190	12.622	297
12.648	217	12.672	324
12.698	251	12.724	358
12.749	293	12.774	398
12.799	340	12.825	443
12.851	391	12.875	489
12.901	444	12.926	536
12.952	492	12.977	578
13.002	537	13.028	616
13.053	576	13.078	647
13.104	604	13.129	670
13.155	623	13.179	681
13.205	628	13.231	683
13.256	624	13.281	675
13.306	610	13.332	657
13.358	583	13.382	630
13.408	549	13.433	594
13.459	507	13.483	554
13.509	460	13.535	508
13.560	410	13.586	463
13.610	359	13.636	417
13.662	311	13.687	375
13.712	268	13.737	338
13.763	231	13.789	309
13.813	203	13.839	287
13.864	186	13.890	278
13.915	179	13.940	277
13.966	185	13.991	284
14.016	200	14.042	303
14.067	227	14.093	329
14.117	259	14.143	365
14.169	301	14.194	404
14.219	349	14.244	447
14.270	398	14.296	493
14.320	447	14.346	538
14.371	494	14.397	580
14.421	538	14.447	616
14.473	573	14.498	646
