#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	162	0.050	671
0.076	209	0.101	627
0.126	266	0.152	576
0.177	333	0.203	519
0.227	402	0.253	461
0.279	470	0.304	403
0.329	534	0.354	349
0.380	591	0.406	304
0.430	639	0.456	266
0.481	675	0.507	241
0.531	694	0.557	228
0.583	697	0.608	229
0.633	683	0.658	243
0.684	656	0.710	269
0.734	617	0.760	305
0.785	565	0.811	349
0.836	505	0.861	401
0.887	441	0.912	458
0.937	372	0.963	515
0.988	305	1.014	571
1.038	244	1.064	620
1.090	193	1.115	663
1.140	151	1.165	695
1.191	123	1.217	714
1.241	109	1.267	719
1.292	114	1.318	711
1.343	130	1.368	695
1.394	160	1.419	666
1.444	206	1.469	626
1.495	262	1.521	577
1.545	326	1.571	523
1.596	392	1.622	467
1.647	459	1.672	411
1.698	523	1.723	359
1.749	580	1.774	313
1.799	629	1.825	277
1.850	666	1.875	250
1.901	687	1.926	235
1.952	691	1.976	236
2.002	678	2.028	247
2.053	654	2.078	271
2.103	618	2.129	306
2.155	568	2.179	348
2.205	511	2.230	398
2.256	446	2.280	453
2.306	379	2.332	509
2.357	314	2.382	563
2.407	255	2.433	613
2.459	203	2.483	655
2.509	161	2.534	687
2.560	131	2.585	706
2.610	117	2.636	713
2.661	118	2.686	708
2.712	134	2.737	692
2.763	160	2.787	663
2.813	204	2.839	621
2.864	257	2.889	574
2.914	318	2.940	522
2.966	382	2.990	466
3.016	446	3.041	411
3.067	511	3.091	360
3.117	569	3.143	317
3.168	617	3.193	281
3.218	655	3.244	255
3.270	677	3.294	241
3.320	683	3.345	241
3.371	674	3.396	253
3.421	651	3.447	276
3.472	618	3.497	310
3.523	572	3.548	352
3.574	516	3.598	401
3.624	456	3.650	455
3.675	388	3.700	510
3.725	325	3.751	562
3.777	265	3.801	611
3.827	214	3.852	652
3.878	171	3.903	683
3.928	140	3.954	703
3.979	123	4.004	709
4.029	125	4.055	703
4.081	136	4.105	688
4.131	162	4.156	658
4.182	203	4.207	618
4.232	254	4.258	571
4.283	313	4.308	520
4.334	375	4.359	466
4.385	438	4.409	412
4.435	501	4.461	362
4.486	557	4.511	319
4.536	606	4.562	284
4.588	643	4.612	258
4.638	667	4.663	245
4.689	675	4.714	246
4.739	667	4.765	259
4.790	648	4.816	282
4.840	617	4.866	314
4.892	573	4.917	355
4.942	520	4.967	404
4.993	461	5.019	457
5.043	397	5.069	510
5.094	335	5.120	563
5.145	276	5.170	610
5.196	224	5.221	651
5.246	181	5.272	681
5.297	150	5.323	700
5.347	133	5.373	706
5.399	131	5.424	702
5.449	142	5.474	684
5.500	164	5.526	656
5.550	203	5.576	618
5.601	251	5.627	571
5.651	307	5.677	521
5.703	367	5.728	467
5.753	429	5.778	414
5.804	491	5.830	365
5.854	546	5.880	322
5.905	595	5.931	288
5.956	632	5.981	262
6.007	658	6.032	249
6.057	667	6.083	250
6.108	661	6.134	261
6.158	643	6.184	284
6.210	615	6.235	316
6.260	573	6.285	356
6.311	522	6.337	405
6.361	466	6.387	457
6.412	403	6.438	511
6.463	344	6.488	562
6.514	286	6.539	609
6.564	235	6.589	650
6.615	192	6.641	680
6.665	160	6.691	698
6.716	141	6.742	704
6.767	140	6.792	699
6.818	148	6.843	682
6.868	169	6.894	654
6.919	205	6.945	616
6.969	250	6.995	570
7.021	302	7.046	520
7.071	361	7.096	466
7.122	422	7.148	414
7.172	481	7.198	366
7.223	535	7.249	324
7.274	583	7.299	289
7.325	621	7.350	265
7.375	647	7.400	252
7.426	657	7.452	253
7.476	654	7.502	265
7.527	639	7.553	287
7.578	613	7.603	319
7.629	573	7.654	359
7.680	523	7.705	407
7.730	469	7.756	459
7.781	410	7.806	510
7.832	351	7.857	562
7.883	295	7.907	608
7.933	244	7.959	648
7.984	202	8.009	678
8.034	170	8.060	696
8.086	152	8.110	702
8.136	146	8.161	697
8.187	155	8.211	681
8.237	175	8.263	654
8.288	207	8.313	615
8.338	250	8.364	571
8.390	300	8.414	520
8.440	357	8.465	468
8.491	415	8.516	416
8.541	473	8.567	368
8.592	526	8.617	327
8.643	573	8.668	292
8.694	611	8.718	267
8.744	637	8.770	255
8.795	648	8.820	255
8.845	646	8.871	266
8.897	632	8.921	289
8.947	608	8.972	320
8.998	570	9.023	360
9.048	524	9.074	406
9.099	472	9.124	458
9.149	414	9.175	510
9.201	359	9.225	561
9.251	304	9.276	607
9.302	255	9.327	647
9.352	211	9.378	677
9.403	181	9.428	695
9.454	160	9.479	701
9.505	157	9.529	696
9.555	162	9.581	681
9.606	179	9.631	653
9.656	211	9.682	615
9.708	251	9.732	571
9.758	300	9.783	521
9.809	353	9.834	470
9.859	410	9.885	418
9.910	466	9.935	369
9.960	517	9.986	329
10.012	562	10.036	294
10.062	601	10.087	269
10.113	627	10.138	257
10.163	639	10.189	258
