#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	387	0.051	465
0.077	421	0.102	465
0.127	459	0.153	466
0.178	497	0.203	466
0.228	534	0.254	467
0.280	569	0.304	467
0.330	596	0.355	468
0.381	618	0.406	469
0.431	632	0.457	469
0.482	639	0.507	469
0.533	636	0.558	471
0.584	626	0.608	470
0.634	608	0.660	470
0.685	582	0.710	470
0.735	551	0.761	470
0.787	516	0.811	470
0.837	480	0.862	470
0.888	442	0.913	469
0.938	406	0.964	468
0.989	374	1.015	467
1.040	348	1.065	467
1.091	325	1.116	466
1.141	312	1.166	466
1.192	306	1.218	466
1.242	309	1.268	466
1.293	320	1.319	465
1.344	338	1.369	466
1.395	362	1.420	465
1.445	393	1.471	466
1.496	427	1.522	467
1.546	463	1.572	467
1.598	501	1.623	467
1.648	537	1.673	467
1.699	568	1.725	468
1.749	594	1.775	469
1.800	616	1.826	469
1.851	628	1.876	469
1.902	634	1.927	470
1.952	631	1.977	470
2.003	620	2.029	469
2.053	602	2.079	469
2.104	577	2.130	470
2.155	546	2.180	470
2.206	512	2.231	468
2.256	476	2.282	468
2.307	439	2.333	468
2.357	405	2.383	468
2.409	373	2.434	467
2.459	347	2.484	466
2.510	328	2.536	466
2.560	317	2.586	465
2.611	311	2.637	465
2.662	316	2.687	465
2.713	326	2.738	466
2.763	343	2.788	466
2.814	369	2.840	466
2.864	399	2.890	466
2.915	433	2.941	468
2.966	469	2.991	468
3.017	505	3.042	468
3.067	538	3.093	468
3.118	569	3.144	469
3.168	594	3.194	469
3.220	614	3.245	468
3.270	625	3.295	470
3.321	629	3.347	470
3.371	625	3.397	469
3.422	614	3.448	469
3.473	595	3.498	470
3.524	570	3.549	468
3.574	541	3.600	468
3.625	508	3.651	468
3.675	471	3.701	468
3.726	436	3.752	468
3.777	403	3.802	467
3.828	373	3.853	467
3.879	348	3.904	465
3.929	331	3.955	466
3.980	320	4.005	466
4.031	315	4.056	466
4.082	320	4.106	466
4.132	332	4.158	466
4.183	350	4.208	467
4.233	374	4.259	467
4.285	404	4.309	467
4.335	437	4.360	468
4.386	472	4.411	468
4.436	508	4.462	468
4.487	540	4.512	469
4.537	570	4.563	469
4.589	594	4.613	469
4.639	611	4.664	469
4.690	621	4.715	469
4.740	626	4.766	469
4.791	620	4.816	469
4.842	608	4.867	469
4.893	589	4.917	469
4.943	564	4.969	467
4.994	535	5.019	467
5.044	501	5.070	467
5.096	467	5.120	467
5.146	433	5.171	466
5.197	401	5.222	467
5.247	372	5.273	466
5.298	349	5.323	466
5.348	333	5.374	466
5.400	323	5.424	466
5.450	320	5.475	467
5.501	325	5.526	467
5.551	337	5.577	467
5.602	356	5.627	467
5.653	381	5.678	468
5.704	409	5.728	468
5.754	443	5.780	467
5.805	476	5.830	469
5.855	510	5.881	468
5.907	541	5.931	469
5.957	569	5.982	468
6.008	593	6.033	469
6.058	609	6.084	468
6.109	618	6.134	468
6.160	620	6.185	467
6.211	616	6.235	468
6.261	602	6.286	468
6.312	583	6.337	467
6.362	559	6.388	468
